frequency_hz,amplitude,power
44.029850746268664,19.828032,393.15085
44.1542288557214,29.659992,879.71515
44.278606965174134,36.56061,1336.6783
44.40298507462687,48.373577,2340.003
44.52736318407961,41.97706,1762.0735
44.651741293532346,37.313225,1392.2767
44.77611940298508,73.59961,5416.9023
44.900497512437816,44.02464,1938.1688
45.02487562189055,45.885506,2105.4797
45.149253731343286,39.294388,1544.049
45.27363184079603,26.284815,690.8915
45.39800995024876,32.88066,1081.1378
45.5223880597015,24.347492,592.80035
45.64676616915423,30.79486,948.3234
45.77114427860697,26.124956,682.5133
45.89552238805971,42.345512,1793.1425
46.019900497512445,46.605186,2172.0435
46.14427860696518,10.627111,112.9355
46.268656716417915,71.75937,5149.407
46.39303482587065,3.7506764,14.067574
46.51741293532339,58.254707,3393.6108
46.64179104477613,48.80804,2382.2249
46.76616915422886,49.26774,2427.31
46.8905472636816,48.164253,2319.7954
47.01492537313433,11.217968,125.842804
47.139303482587074,24.683912,609.29553
47.26368159203981,38.90806,1513.837
47.388059701492544,52.229618,2727.933
47.51243781094528,102.23289,10451.563
47.636815920398014,32.91964,1083.7026
47.761194029850756,78.30269,6131.311
47.88557213930349,65.07886,4235.258
48.009950248756226,21.410276,458.39993
48.13432835820896,32.679718,1067.964
48.258706467661696,19.610256,384.56213
48.38308457711443,11.597681,134.50621
48.50746268656717,5.5085506,30.34413
48.63184079601991,26.273266,690.2845
48.75621890547264,75.43313,5690.1567
48.88059701492538,22.382639,500.9825
49.00497512437811,109.79362,12054.639
49.129353233830855,127.33652,16214.589
49.25373134328359,33.69285,1135.208
49.378109452736325,149.98247,22494.74
49.50248756218906,61.501026,3782.3762
49.626865671641795,65.74861,4322.88
49.75124378109454,37.50114,1406.3356
49.87562189054727,68.67983,4716.9194
50.00000000000001,12.055085,145.32507
50.12437810945274,89.34385,7982.323
50.24875621890548,50.669918,2567.4407
50.37313432835822,99.60867,9921.888
50.497512437810954,23.07623,532.5123
50.62189054726369,115.42612,13323.188
50.746268656716424,103.53792,10720.101
