time_sec,amplitude
3.384,0.12349507
3.388,-0.1230431
3.392,-0.024881244
3.396,0.25164932
3.4,-0.14349416
3.404,-0.16080517
3.408,0.26198065
3.412,-0.09517555
3.416,-0.23865166
3.42,0.21295415
3.424,-0.002601821
3.428,-0.08512167
3.432,0.18896788
3.436,0.0069432855
3.44,-0.11759343
3.444,0.09600668
3.448,0.047616027
3.452,-0.07601014
3.456,0.1392994
3.46,0.0021004435
3.464,-0.07696423
3.468,0.17734024
3.472,0.05181581
3.476,-0.19658849
3.48,0.12919177
3.484,0.030339807
3.488,-0.19960055
3.492,0.046715595
3.496,0.035772685
3.5,-0.2562647
3.504,0.043997385
3.508,0.05140272
3.512,-0.20906246
3.516,0.14161071
3.52,0.12119782
3.524,-0.16619807
3.528,0.07355954
3.532,0.17543441
3.536,-0.07553802
3.54,0.047820404
3.544,0.16723508
3.548,-0.04978351
3.552,-0.12150757
3.556,0.17744155
3.56,-0.14851812
3.564,-0.10003419
3.568,0.16762811
3.572,0.008809719
3.576,-0.26329064
3.58,0.12477514
3.584,-0.020220555
3.588,-0.11129595
3.592,0.19229588
3.596,0.06860556
3.6,-0.095532075
3.604,0.09817817
3.608,0.025196545
3.612,-0.131086
3.616,0.02571464
3.62,0.12735657
3.624,-0.13019836
3.628,0.13214985
3.632,0.048325375
3.636,-0.21410944
3.64,0.20227215
3.644,-0.0071843173
3.648,0.019570498
3.652,0.13796934
3.656,0.15871537
3.66,-0.018804673
3.664,-0.1577386
3.668,0.18222111
3.672,-0.19712833
3.676,-0.15530106
3.68,0.09949858
3.684,0.026924077
3.688,-0.08056013
3.692,-0.15496494
3.696,0.2384645
3.7,-0.07385036
3.704,-0.16424553
3.708,0.14303428
3.712,-0.012688259
3.716,-0.0034299484
3.72,0.11944656
3.724,0.16155541
3.728,-0.036421515
3.732,-0.20430884
3.736,0.22369812
3.74,-0.1486213
3.744,-0.035025567
3.748,0.13156143
3.752,0.10153106
3.756,0.04037189
3.76,-0.115125656
3.764,0.14795892
3.768,-0.10135839
3.772,-0.293817
3.776,0.10536256
3.78,0.0008304268
3.784,-0.10751005
3.788,-0.04375399
3.792,0.1342422
